country_id;country_name;conflict_id;conflict_name;conflict_type_data_id;conflict_factor_data_id;conflict_intensity_data_id;conflict_subjects;conflict_history;conflict_regulation_practice;circle_coordinates;circle_custom_diameter;circle_conflict_type_data_id;circle_conflict_factors_data_id;circle_conflict_intensity_data_id;author;status;ДОПОЛН
0;Аруба;;;;;;;;;;;;;;;;
1;Афганистан;33;Гражданская война в Афганистане;;;;ИЭА (Талибан) / бывшие силы ИРА, ФНСА (республиканцы, сторонники светской власти) ;"С середины 1990-х становится возможным проследить строгие очертания гражданского конфликта в Афганистане. Падение режима НДПА (народно-демократической партии Афганистана) в ходе активного сопротивления борцов за свободу (моджахедов) поставило острый вопрос о будущем страны.  Хаотичный и множественный характер возникновения и оформления политических сил усугубил раздробленность афганского общества, были созданы параллельные структуры Исламское государство Афганистан (ИГА) и Исламский эмират Афганистан (ИЭА). Эти формирования были в основном широко представлены «Северным альянсом» и движением талибов (ДТ).
Аккумуляция власти в руках талибов на короткий период (1996-2001 гг.) привела к практически полному подавлению разрозненной оппозиции (за исключением части северных территорий в провинциях Бадахшан, Тахар, Панджшер). Последовавшие события, а именно: потеря контроля над территориями в ходе оказания сопротивления отрядами «Северного альянса», начало операции «Несокрушимая свобода», делегитимация ДТ, стали причиной укрепления позиций сторонников ИГА при международной поддержке и затем оформления республики в Афганистане(ИРА) по результатам боннской конференции. Характерной особенностью периода развития ИРА является наличие как внутреннего конфликта среди политических лидеров республики, так и внешнего, сопровождающегося непрекращающейся гражданской войной с вовлечением международных сил. 
В 2021 гг. произошел коренной перелом в противостоянии, изменилась расстановка сил участников межафганского конфликта – активному наступлению талибов начинает противостоять разобщенная оппозиция, которая оформится в единый фронт национального сопротивления Афганистана (ФНСА). Однако захват Кабула в августе 2021 г. и самоустранение А. Гани от власти позволили сконцентрировать существенный контроль в руках талибов и де-факто ИРА перестала существовать. На данном этапе объединенная оппозиция во главе с А. Масудом и и.о. президента А. Салехом ведет партизанскую войну с целью отстранить от власти новое провозглашенное правительство и восстановить демократию с широким политическим представительством. Основными задачами при переустройстве Афганистана А. Масуд обозначил искоренение исламского радикализма, децентрализацию власти в Афганистане(вплоть до федерализации), обеспечение равенства и демократических свобод. Поворот Афганистана на сторону талибов обозначил крах американской миссии по стабилизации региона и по искоренению терроризма. Тем не менее с начала переговорного процесса в Дохе в 2020 г. основной задачей стала деэскалация конфликта, и, хотя приход к власти террористической группировки в 2021 г. воспринимается в качестве провала, эта новая власть по итогу сумела обеспечить б?льший контроль и сократить потенциалы военной напряженности к зиме 2022 г.";Осуществление государственного переворота в августе 2021 г., установление режима исламского эмирата, объявление шариата в качестве единой правовой системы, практика принуждения к присяге талибам, оказание вооруженного сопротивления оппозиции, политика конфискации оружия у повстанцев, политика преследования оппозиции и их сторонников, использование пропаганды (риторика о врагах афганского народа), практика межафганских переговоров (встреча в январе 2022 в Тегеране представителей Талибана и ФНС).;34.86, 67.41;;102;204, 205, 202, 203;302;Бреславцева Александра;upd;0
1;Афганистан;76;Этно-политический конфликт в Афганистане;;;;Пуштунское большинство, талибы / разрозненные этнические, религиозные меньшинства (непуштуны, шииты и др.);Политическая и административная раздробленность Афганистана сегодня отражает глубокий этнический конфликт между доминирующими в населении пуштунами и подавленными меньшинствами, обозначившийся остро вследствие падения монархического режима в 1973 г. Эта разобщенность нередко приводила к стремлению меньшинств либо к получению б?льшего политического представительства, либо к автономии. Взаимодействие между этносами внутри страны осуществляется в условиях глубокой архаизации общественных форм и разобщенности – изолированные друг от друга родоплеменные и территориальные общины под управлением местных лидеров живут в значительной независимости как от «центра», так и друг от друга, что обуславливает политическое доминирование пуштунов. На примере конфликтов между ДТ и «Северным альянсом» на рубеже XXI в., между ДТ и ФНСА с 2021 по наст.вр., выражается стремление непуштунов (в первую очередь афганских таджиков, затем узбеков, хазарейцев и др.) повысить собственную роль в политическом ареале Афганистана. Этнический фактор просматривается в контексте любых возникающих конфликтов, а открытая политическая конкуренция, которая смогла бы обеспечить равноправный политический диалог между представителями разных этнических и религиозных групп, оказывается подавленной.  Желание меньшинств добиться расширения политического участия приводит к бескомпромиссности, к радикализации, к возникновению параллельных политических объединений, к усилению главных оппозиционных блоков (ИПА, Талибан) при консолидации с отстранёнными от новой элиты группировками. Религия в этом контексте является самым мощным консолидирующим фактором. Этим, а также тем, что фрагментация власти привела к полной автономии отдаленных провинций, где результаты деятельности «кабульского правительства» не оказывают существенного влияния, обусловлена победа ДТ (движения талибов) в августе 2021 г.;"Практика этнических чисток, 
Практика насильственного переселения меньшинств (хазарейцев, туркменов, таджиков, узбеков и др.), 
Продолжение политики «пуштунизации» (назначение пуштунов на руководящие должности),
Практика распространения языка пушту (замена названий, традиционно употреблявшихся на дари в пользу пушту, лишение узбекского языка статуса официального),
Практика притеснения и запугивания религиозных меньшинств (установление единой официальной религии – суннитского ислама ханафитского мазхаба, запрет проповедей и широкой деятельности салафитов и др., порицание суфийских практик, зачистки шиитов),
Заключение Дохийских соглашений (проведение контртеррористической политики в отношении действующих радикальных формирований - ИГИЛ), 
Практика вооруженного сопротивления (столкновения с таджикским ополчением – Фронтом национального сопротивления Афганистана (ФНСА). ";37.76, 70.80;;102;204, 203, 205, 202;302;Бреславцева Александра;new;0
1;Афганистан;82;Конфликт между локальными (Талибан, Сеть Хаккани) и трансграничными (Аль-Каида, ИГ-Хорасан) радикальными группировками в Афганистане;;;;ИЭА (талибы, сунниты ханафитского мазхаба школы Деобанди) / радикальные меньшинства (Аль-Каида, Вилаят Хорасан (ИГИЛ));"Противостояние ДТ (движения талибов) террористической группировке «Вилаят Хорасан» имеет очень сложный характер. Несмотря на совпадение их интересов по ряду вопросов, их существование несовместимо. Пропасть между формированиями обусловлена историческими корнями этих экстремистских объединений – ближневосточными у ИГ-Хорасан, южноазиатскими у Талибана, в том числе из этого вытекают основные разногласия в отношении религиозных практик. В то время как ИГ транслирует радикальные идеи, связанные с практикой политического такфиризма, талибы не разделяют такой подход, являясь приверженцами религиозно-правового течения ханафисткого мазхаба школы Деобанди. На сегодняшний день, хотя ИГИЛ чаще относят к салафитам, отметим, что такого рода организациям характерна гибридная идеология, самым главным элементом которой является радикальный джихадизм. Важно понимать, что так называемая группировка «Вилаят Хорасан» - ячейка ИГИЛ, сформированная в том числе талибами, не нашедшими себе место в структуре движения талибов (ДТ), частью завербованной молодежи, бывшими центральноазиатскими экстремистскими группировками (ИДУ, ОТО), а также частью национальных сил бывшей ИРА, примкнувших с целью дальнейшего противостояния режиму ДТ. Талибов обвиняют в сохранении тесных связей с «Аль-Каидой», тогда как ДТ отрицает факт взаимодействия.
Одновременно с этим, важно обозначить принципиальное различие между Талибаном и ИГ-Хорасан, и Аль-Каидой: талибы не стремятся к трансграничности и к распространению своего влияния, являясь локальной организацией, заинтересованной именно в развитии внутри «отдельно взятой страны». Отношения «сети Хаккани» и Талибана более однозначные, так как первая является радикальной частью последней. В действительности, «сеть Хаккани» остается главным посредником между радикальными группировками (об этом свидетельствует диалог с группировкой Техрик-е Талибан Пакистан, имеющей связи с Аль-Каидой). На сегодняшний день структура «министерства» внутренних дел Афганистана при ДТ находится под управлением лидера «сети Хаккани» –  Сираджуддина Хаккани. ";Практика вооруженного сопротивления, Практика запугивания и террора (взрывы жилых общественных зданий, больших скоплений людей, памятников культурного наследия), практика преследований и осуществление практик самосуда, использование пропаганды (вербовка в свои ряды молодежи), использование коррупционных схем (подкуп полевых командиров для транзита оружия, продовольствия, наркотиков и тд.), ;32.61, 64.96;;101;205, 204, 203, 201;303;Бреславцева Александра;new;ДРАБ
2;Ангола;;;;;;;;;;;;;;;;
3;Ангилья;;;;;;;;;;;;;;;;
4;Албания;;;;;;;;;;;;;;;;
5;Аландские острова;;;;;;;;;;;;;;;;
6;Андорра;;;;;;;;;;;;;;;;
7;Объединенные Арабские Эмираты;;;;;;;;;;;;;;;;
8;Аргентина;;;;;;;;;;;;;;;;
9;Армения;;;;;;;;;;;;;;;;
10;Американское Самоа;;;;;;;;;;;;;;;;
11;Антарктида;;;;;;;;;;;;;;;;
13;Южные Французские Территории;;;;;;;;;;;;;;;;
14;Антигуа и Барбуда;;;;;;;;;;;;;;;;
15;Австралия;47;Австралия;;;;Австралийские аборигены / Потомки белых эмигрантов;С конца 18 в. европейские колонисты проводили политику дискриминации в отношении местного населения, изгнания с земель, физического истребления. Начиная с 1960-х гг. разрабатывается антидискриминационное законодательство, на аборигенов распространилось право Австралии, в том числе собственности на землю, избирательные права. Сегодня среди аборигенов наблюдаются более низкие показатели (по сравнению со всем населением страны) здоровья, благосостояния и правовой защищенности. По данным переписи населения 2016 г. в Австралии проживает почти 800 тыс. аборигенов (3,3% населения), из которых только 1% являются полнокровными.;"Политика культурной ассимиляции:
С 1909 г. До 1969 г. – политика изъятия детей аборигенов и смешанной этничности из семей.
1991 г. – создан Совет по примирению аборигенов.
2004 г. – создание мемориала аборигенам из «украденного поколения».
2005 г. – утвержден ежегодный «День извинений».
2012 г. – Закон о признании, в соответствии с которым история аборигенов стала частью истории Австралии.
2014 г. – Закон о признании аборигенов, в соответствии с которым последние будут упомянуты в Конституции.
Правовая политика:
1967 г. – принятие Конституции, предоставлявшей права аборигенам, их участие в переписи населения.
1975 г. – закон о расовой дискриминации.
1993 г. - Уполномоченный по социальной справедливости аборигенов.
Социально-экономическая политика:
1976 г. – закон о земельных правах.
1992 г. – верховный суд признал, что территория Австралии до колонизации не являлась terra nullius, признал право утверждения названий на языке аборигенов для определенных земель.
2013 г. – проект развития здравоохранения для аборигенов.
Кроме того, в отдельных штатах предоставляются общинные права на землю, изданы законы об охране культурного наследия аборигенов. Работает Национальное аборигенное телевидение Австралии.";-20.95, 133.87;;102;201, 202, 203;301;Александр Алёшин;new;0
16;Австрия;;;;;;;;;;;;;;;;
17;Азербайджан;1;Нагорный Карабах;;;;Этнические и территориальные группы / центральная власть Республики Армения / центральная власть Азербайджанской Республики;В основе конфликта – противоречия, возникшие при делении территории Закавказья Российской империи, принимавшие формы кровопролитных столкновений между армянами и азербайджанцами в 1905-1907 и 1918-1920 г., и появление на территории Азербайджана области с преимущественно армянским населением - Нагорного Карабаха. Конфронтация, возникшая в период активизации национальных движений при распаде СССР, переросла  в 1991-1994 гг.  в военные столкновения между Арменией и самопровозглашенной Нагорно-Карабахской Республикой с одной стороны и Азербайджаном – с другой. В1994 году при посредничестве Российской Федерации сторонами был подписан Бишкекский протокол о перемирии. На протяжении 15 лет поддержание мира достигалось на основе дипломатических усилий зарубежных посредников.   Военные действия в регионе возобновились в сентябре 2020 г..  Азербайджанская армия вытеснила армянские силы с  части территорий Нагорного Карабаха. После заключения соглашения о перемирии и введении миротворческой миссии Российской Федерации военные действия прекратились в ноябре 2020 г..  В настоящее время ведутся консультации по деэскалации конфликта и реализации совместных инфраструктурных проектов, включая развитие транспортного коридора, проходящего через Нагорный Карабах и соединяющего административные центры Азербайджана.;Поддержка территориальной автономии Нагорного Карабаха. Дипломатическое и миротворческое посредничество Российской Федерации. Совместная реализация инфраструктурных проектов.;39.88, 46.85;;103;204, 201, 203, 205, 206;302;Владимир Лапкин;upd;0
18;Бурунди;;;;;;;;;;;;;;;;
19;Бельгия;11;Бельгия;;;;Центральное правительство / власти субнационального уровня (Валлония,      Фландрия, Брюссель) и выступающие за автономизацию/независимость регионалистские партии;Бельгия является федерацией, федерализация бельгийского государства началась недавно (с формальной точки зрения – с 1980 г.), процесс не завершен (имели место шесть институциональных реформ в данном направлении). Федерацию образовали получившие языковую и культурную автономию три сообщества, население которых в большинстве своем считает своим языком соответственно французский, фламандский (разновидность голландского) и немецкий. С другой стороны, три региона институционально оформлены как социально-экономические административные единицы (Фламандский регион, Валлонский регион, местными языками которого являются французский и немецкий, и двуязычный столичный округ Брюссель). Таким образом, в наиболее благополучной с социально-экономической точки зрения Фландрии регион и сообщество сливаются воедино. Националистически настроенным фламандским политикам тесны рамки требований еще большей автономии территории и превращения Бельгии в конфедерацию, они выступают за выход Фландрии из состава бельгийского государства (консервативный Новый фламандский альянс, Фламандский интерес). В валлонском движении за собственную, особую идентичность региона и защиту франкофонной культуры в рамках бельгийской федерации течение в поддержку независимости Валлонии является одним из наиболее молодых (оно зародилось в годы Второй мировой войны), попытки его сторонников создать и развивать институционально оформленные политические партии не увенчались пока электоральными успехами.;Административные полномочия сообществ и регионов Бельгии, которые имеют свои правительства и парламенты, законодательные полномочия распространяются на сферы образования, культуры, социальной политики, поддержку семьи и детства, включая проблемы занятости и отдельные вопросы здравоохранения, местного управление, общественных работ, сельского хозяйства, природопользования и охраны окружающей среды, внешней торговли, частично – налогообложения. Эти полномочия не являются полностью гомогенными, что порождает постоянные споры и конфликты между федеральным правительством и властями субнационального уровня. В «подтексте» противостояния – разрыв в уровне социально-экономического развития и уровне жизни Фландрии и Валлонии (последний – дотационный регион, налоговые поступления перераспределяются в пользу Валлонии). В последние годы в рамках бельгийского этноконфликта наблюдается постепенное формирование нидерландской панидентичности как нового политического пространства на основе культурно-лингвистического фактора. Новый этнополитический субъект можно определить как «Большие Нидерланды» (нидерландский этномир). Среди фламандских националистов Бельгии существует тенденция выстраивать этническую идентичность Фландрии не только как особого этнорегиона, что присуще регионалистскому, автономистскому и сепаратистскому дискурсу во многих европейских странах, но и как части более широкого нидерландского этномира в русле паннидерландизма и великонидерландского унионизма. ;50.61, 4.41;;101;201, 202, 203;301;Максим Сигачев;upd;0
20;Бенин;;;;;;;;;;;;;;;;
21;Буркина-Фасо;;;;;;;;;;;;;;;;
22;Бангладеш;;;;;;;;;;;;;;;;
